gene,uni_marker_gene,cv_values
b0637,b3866,0.0514096709808495
b3643,b1844,0.0442041088807822
b2064,b2064,0.0523177109278953
b1221,b1221,0.059198845107224
b4148,b4148,0.0534645082773342
b2933,b2715,0.0481959935113511
b1738,b1736,0.0507921421255251
b3345,b3345,0.0523259652899544
b3052,b0200,0.0401841271010398
b0156,b3414,0.051925819253049
b1186,b3915,0.0396498327551522
b4618,b0818,0.0531203101451913
b1592,b0155,0.0415921756683941
b2413,b0155,0.0415921756683941
b1737,b1736,0.0507921421255251
b3011,b0207,0.0573849804491435
b0399,b3961,0.0512535478832389
b2079,b2079,0.0534965291629577
