term_id	marker_gene	cv_values
GO:0006271	b4361	0.0595696806860477
GO:0006274	b1610	0.0875218890389605
GO:0006275	b3702	0.0779332194161912
GO:0006276	b4260	0.055049816216988
GO:0006281	b1114	0.0404518550762541
GO:0006282	b2698	0.0979082232128489
GO:0006284	b3549	0.0390310609633677
GO:0006285	b3635	0.0586708645185296
GO:0006288	b2411	0.0559681055655784
GO:0006289	b0714	0.0431368142609513
GO:0006298	b1844	0.0442041088807822
GO:0006302	b2184	0.0372385995216239
GO:0006304	b2831	0.0484515260997364
GO:0006307	b3549	0.0390310609633677
GO:0006308	b4378	0.0484269724949863
GO:0006310	b0962	0.0374569704831026
GO:0006312	b2699	0.0904916992564461
GO:0006313	b2894	0.0575739630112919
GO:0006351	b3010	0.0401325644647335
GO:0006352	b3202	0.0535936650521706
GO:0006353	b3783	0.0612596163992826
GO:0006354	b3181	0.0922331902297017
GO:0006355	b1114	0.0404518550762541
GO:0006364	b0051	0.0444283774152654
GO:0006378	b0143	0.0585258077500713
GO:0006396	b3164	0.0570565612012784
GO:0006397	b0143	0.0585258077500713
GO:0006399	b3887	0.0534876726011636
GO:0006400	b0188	0.0454603342930874
GO:0006401	b3929	0.0498990522541638
GO:0006402	b2830	0.0498459966324086
GO:0006412	b2184	0.0372385995216239
GO:0006413	b3168	0.0717849032857095
GO:0006414	b3339	0.036843390589445
GO:0006415	b1211	0.053890782213774
GO:0006417	b2827	0.0489070100170775
GO:0006418	b0930	0.0719198476127192
GO:0006419	b2697	0.0644846282002939
GO:0006420	b3559	0.0528412083460783
GO:0006421	b0930	0.0719198476127192
GO:0006422	b1866	0.0937372466626159
GO:0006423	b0526	0.0708983905211878
GO:0006424	b2400	0.0453624959268914
GO:0006425	b0680	0.0887095052903333
GO:0006426	b3559	0.0528412083460783
GO:0006427	b2514	0.0568607003614281
GO:0006428	b0026	0.104801690121915
GO:0006429	b0642	0.0451353208312414
GO:0006430	b4155	0.0656137648144742
GO:0006431	b2114	0.0773830982402681
GO:0006432	b1714	0.0800463244180022
GO:0006433	b0194	0.0671110423164146
GO:0006434	b0893	0.0764966818730103
GO:0006436	b3384	0.0809019602270835
GO:0006437	b1637	0.0715816895192285
GO:0006438	b4258	0.0683450803820737
GO:0006449	b4375	0.073932423938293
GO:0006450	b0481	0.0417635152725545
GO:0006457	b3781	0.0414037651275052
GO:0006461	b3649	0.0743842692327079
GO:0006464	b4373	0.0572038927462313
